EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
4.51,1.36,7.58,19.86,999.0,3.21,"
											
											
												
				26.58
			
											
										",철강,125,12.54,KOSDAQ,금속,유에스티,"""263770""",,"
															4,005"
17.69,1.44,23.82,6.49,98.0,0.7,"
											
											
												
				21.12
			
											
										",창업투자,35,35.74,KOSDAQ,금융,린드먼아시아,"""277070""",,"
															6,080"
12.55,1.24,16.77,7.70,919.0,0.9,"
											
											
												
				103.61
			
											
										",제약,44,4.74,KOSDAQ,제약,신신제약,"""002800""",,"
															4,880"
12.05,1.45,29.61,5.19,158.0,1.6,"
											
											
												
				64.64
			
											
										",광고,22,14.19,KOSDAQ,전문기술,와이즈버즈,"""273060""",,"
															1,319"
21.21,1.21,33.94,3.60,379.0,0.78,"
											
											
												
				9.62
			
											
										",화장품,13,3.48,KOSDAQ,화학,세화피앤씨,"""252500""",,"
															1,080"
10.40,0.89,28.84,3.10,256.0,1.17,"
											
											
												
				15.55
			
											
										",IT서비스,12,4.60,KOSDAQ,"출판,매체복제",수산아이앤티,"""050960""",,"
															10,630"
5.97,0.89,7.71,12.32,273.0,0.6,"
											
											
												
				34.19
			
											
										",창업투자,85,31.09,KOSDAQ,금융,TS인베스트먼트,"""246690""",,"
															1,599"
12.62,0.57,2.95,,,,,부동산,,,KOSPI,서비스업,모두투어리츠,"""204210""",,"
															3,955"
8.15,1.1,15.22,8.01,676.0,1.44,"
											
											
												
				44.35
			
											
										",디스플레이장비및부품,40,5.99,KOSDAQ,"기계,장비",에프엔에스테크,"""083500""",,"
															8,620"
26.98,2.3,51.05,4.90,536.0,0.7,"
											
											
												
				28.06
			
											
										",통신장비,41,7.61,KOSDAQ,통신장비,AP위성,"""211270""",,"
															13,800"
10.19,2.67,19.65,13.94,875.0,2.64,"
											
											
												
				64.16
			
											
										",건축자재,121,13.80,KOSDAQ,비금속,보광산업,"""225530""",,"
															6,530"
5.51,0.53,6.64,8.84,621.0,3.26,"
											
											
												
				26.85
			
											
										",화학,82,13.14,KOSDAQ,화학,케이디켐,"""221980""",,"
															13,440"
61.70,10.28,89.04,12.81,691.0,1.97,"
											
											
												
				8.38
			
											
										",생물공학,272,39.39,KOSDAQ,제약,케어젠,"""214370""",,"
															226,000"
10.73,0.91,8.96,10.97,912.0,1.1,"
											
											
												
				17.15
			
											
										",반도체와반도체장비,152,16.69,KOSDAQ,반도체,엑시콘,"""092870""",,"
															12,690"
13.52,2.98,9.79,36.09,596.0,1.47,"
											
											
												
				96.96
			
											
										",반도체와반도체장비,122,20.45,KOSDAQ,반도체,제너셈,"""217190""",,"
															13,660"
28.64,7.25,29.23,24.93,241.0,1.39,"
											
											
												
				50.28
			
											
										",반도체와반도체장비,100,41.35,KOSDAQ,반도체,칩스앤미디어,"""094360""",4.00,"
															30,000"
17.94,2.38,31.03,8.14,838.0,1.08,"
											
											
												
				44.07
			
											
										",우주항공과국방,62,7.37,KOSDAQ,일반전기전자,아이쓰리시스템,"""214430""",,"
															27,000"
24.12,2.26,189.1,1.14,328.0,1.55,"
											
											
												
				41.13
			
											
										",IT서비스,2,0.62,KOSDAQ,컴퓨터서비스,로지시스,"""067730""",,"
															3,995"
11.48,1.35,10.4,14.38,973.0,1.5,"
											
											
												
				126.57
			
											
										",음료,119,12.23,KOSDAQ,"음식료,담배",흥국에프엔비,"""189980""",4.00,"
															3,105"
19.65,2.2,39.01,6.37,419.0,1.14,"
											
											
												
				41.32
			
											
										",반도체와반도체장비,38,9.13,KOSDAQ,"기계,장비",러셀,"""217500""",,"
															4,020"
